Year,Name,POS,Height,Weight,Forty_Yard,Bench_Press,Vert_Leap,Broad_Jump,Shuttle,position_group
1987,John Clay,OT,77.4,320,5.51,16.0,25.0,85.0,4.77,lineman
1987,Jim Warne,OT,78.5,307,5.52,,22.0,89.0,5.0,lineman
1987,John Davis,OG,75.9,301,5.53,21.0,21.0,,,lineman
1987,Louis Brock,CB,70.6,163,,,,,,WR_RB_DB
1987,Mark Bellini,WR,70.9,178,,8.0,,,,WR_RB_DB
1987,Garland Rivers,CB,73.0,185,,,,,,WR_RB_DB
1987,Tommy Powell,SS,70.0,186,,11.0,,,,WR_RB_DB
1987,Kevin Sweeney,QB,71.3,187,,,,,,LB_FB_TE_QB
1987,Tim Jessie,RB,71.3,190,,12.0,,,,WR_RB_DB
1987,Doug Dubose,RB,71.0,191,,11.0,,,,WR_RB_DB
1987,Gary Moss,CB,70.4,193,,12.0,,,,WR_RB_DB
1987,John Wooldridge,RB,68.4,193,,,,,,WR_RB_DB
1987,Adrian White,SS,71.5,198,,17.0,,,,WR_RB_DB
1987,Jim Harbaugh,QB,74.3,203,,,,,,LB_FB_TE_QB
1987,D.J. Dozier,RB,72.3,204,,,34.0,122.0,,WR_RB_DB
1987,Timmy Smith,RB,70.6,216,,10.0,,,,WR_RB_DB
1987,Tommy Agee,FB,71.8,217,,15.0,,,,LB_FB_TE_QB
1987,Gerald White,FB,71.4,220,,,28.0,104.0,4.49,LB_FB_TE_QB
1987,Bob Perryman,FB,72.8,234,,15.0,29.0,108.0,4.34,LB_FB_TE_QB
1987,Alonzo Highsmith,FB,72.9,236,,27.0,34.0,118.0,,LB_FB_TE_QB
1987,Terence Mack,OLB,75.0,239,,16.0,26.0,107.0,,LB_FB_TE_QB
1987,Steve Smith,RB,72.9,244,,12.0,,,,WR_RB_DB
1987,Christian Okoye,RB,73.6,250,,21.0,31.0,,,WR_RB_DB
1987,Dick Chapura,DT,75.4,275,,,,,,lineman
1987,Shawn Knight,DE,78.3,292,,23.0,,,,lineman
1987,Wilbur Strozier,OG,75.8,273,,29.0,,,,lineman
1987,Bruce Wilkerson,OT,77.0,280,,17.0,,,,lineman
1987,Bruce Mesner,DT,76.9,279,,20.0,,,,lineman
1987,Chris Pike,DT,78.9,292,,31.0,,,,lineman
1987,Sean Smith,DE,76.3,273,,,,,,lineman
1987,Jason Buck,DE,77.0,250,,19.0,,,,lineman
1987,Will Johnson,DE,76.0,232,,17.0,33.5,115.0,,lineman
1988,Gaston Green,RB,70.3,189,4.32,8.0,33.5,119.0,4.27,WR_RB_DB
